employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,department_id,manager_id
252,William,Russell,WilliamRussell@gyahoo.com,(604)595-5104,2023-01-22,FIN_FA,12533967,101,1
253,George,Fitzgerald,GeorgeFitzgerald@gyahoo.com,001-543-307-3147x303,2018-06-11,ENG_DS,16679975,103,3
254,Brian,Warner,BrianWarner@gyahoo.com,001-745-539-2549x2291,2017-08-08,ENG_DA,5488091,103,3
255,Brian,Davis,BrianDavis@gyahoo.com,954-579-9292x349,2016-01-20,ENG_DE,9830287,103,3
256,Preston,Houston,PrestonHouston@gyahoo.com,-3436,2014-08-28,FIN_ACT,7510461,101,1
257,Ralph,Hall,RalphHall@gyahoo.com,(393)371-9633x1097,2021-06-20,FIN_ACT,5011722,101,1
258,Richard,Jennings,RichardJennings@gyahoo.com,001-615-873-5230,2016-10-27,OPS_OC,5524679,104,4
259,Timothy,Morton,TimothyMorton@gyahoo.com,900-513-3590x885,2021-02-18,OPS_OM,5356719,104,4
260,Justin,Delacruz,JustinDelacruz@gyahoo.com,+1-291-548-0697x03961,2019-12-21,ENG_SE,5683294,103,3
261,Shelby,Mason,ShelbyMason@gyahoo.com,+1-847-400-1629x5872,2015-10-03,ENG_IM,11348901,103,3
262,Richard,Bennett,RichardBennett@gyahoo.com,8215323610,2014-10-05,FIN_ACT,5013935,101,1
263,David,Robinson,DavidRobinson@gyahoo.com,(717)970-5184,2022-02-21,MARK_MA,15901480,102,2
264,Nicholas,Zuniga,NicholasZuniga@gyahoo.com,3723003992,2015-07-09,ENG_DE,9344130,103,3
265,Bridget,Juarez,BridgetJuarez@gyahoo.com,+1-789-806-6452x43564,2016-07-04,ENG_DA,8627287,103,3
266,Victoria,Jenkins,VictoriaJenkins@gyahoo.com,(354)814-4060,2014-11-09,ENG_DE,13694299,103,3
267,Renee,Fischer,ReneeFischer@gyahoo.com,+1-704-989-0571x91504,2022-04-18,MARK_MC,15171747,102,2
268,Lisa,Hernandez,LisaHernandez@gyahoo.com,388-901-6408x60643,2016-06-14,FIN_ACT,5475364,101,1
269,Jacob,Richards,JacobRichards@gyahoo.com,(562)386-0262x9591,2021-02-11,MARK_MC,16966812,102,2
270,Dustin,Crawford,DustinCrawford@gyahoo.com,(594)389-0583,2015-08-11,ENG_DS,19329863,103,3
271,Teresa,Marquez,TeresaMarquez@gyahoo.com,001-814-211-3315x70707,2019-08-16,ENG_DE,9947428,103,3
272,Robert,Allen,RobertAllen@gyahoo.com,001-484-422-4283x51238,2021-05-19,ENG_DS,18490657,103,3
273,Kevin,Owens,KevinOwens@gyahoo.com,001-507-592-4917,2015-12-24,OPS_OC,5238409,104,4
274,Holly,Gentry,HollyGentry@gyahoo.com,774-612-3574,2023-06-07,ENG_IM,15071214,103,3
275,William,Charles,WilliamCharles@gyahoo.com,001-531-833-8160,2018-01-05,ENG_NE,5867557,103,3
276,Jesus,Wade,JesusWade@gyahoo.com,683-853-6590,2016-11-13,ENG_DA,10303602,103,3
277,Larry,Diaz,LarryDiaz@gyahoo.com,(242)397-2804x8897,2019-08-23,MARK_MM,15198098,102,2
278,Michelle,Stout,MichelleStout@gyahoo.com,001-593-812-3169x442,2021-08-04,ENG_IM,17106794,103,3
279,Valerie,Robertson,ValerieRobertson@gyahoo.com,(479)873-0639x9738,2022-06-24,ENG_IM,18231149,103,3
280,Katherine,Levy,KatherineLevy@gyahoo.com,517-972-7461x53019,2017-06-25,MARK_MC,18061119,102,2
281,Latoya,Vance,LatoyaVance@gyahoo.com,001-272-410-0886x94553,2019-10-12,ENG_DS,16948747,103,3
282,Steven,Brown,StevenBrown@gyahoo.com,-1867,2021-07-24,FIN_ACT,5870356,101,1
283,Tanya,Terry,TanyaTerry@gyahoo.com,6.398.059.532,2018-06-10,ENG_DE,9562689,103,3
284,Sonya,Luna,SonyaLuna@gyahoo.com,545-528-6102,2018-11-07,ENG_DE,13754233,103,3
285,Lauren,Sullivan,LaurenSullivan@gyahoo.com,(795)911-8898,2022-06-19,MARK_BM,18912632,102,2
286,Tammy,Smith,TammySmith@gyahoo.com,001-709-221-6708,2014-07-22,ENG_DE,11943718,103,3
287,Annette,Malone,AnnetteMalone@gyahoo.com,+1-624-925-1280x54403,2020-03-24,ENG_NE,5221865,103,3
288,Jessica,Gonzalez,JessicaGonzalez@gyahoo.com,(803)333-3566x801,2021-08-14,ENG_SE,11130636,103,3
289,Jennifer,Goodman,JenniferGoodman@gyahoo.com,(777)797-8997,2022-02-27,FIN_FA,16055508,101,1
290,Karen,Bryan,KarenBryan@gyahoo.com,503-262-6738,2022-10-17,MARK_DMS,17759964,102,2
